-3 -2 -8 14 15 0 -10 -5367 -68 31
-4 -3 -5 22 2 1 -15 28 4
11 3 5 2 8 30 -10 16 -5
13 -50 -388 2 -8 -4 -1 117 6
-448 -14 -25 10 2 3 -34 -11 -4
-13 -5 7 9 14 0 0 -21 3
-15 -3 -7 3 -18 -6 -91 -65 -51
1 -5 14 -8 -10 63 43 -10 13
-45 4 8 -10 -29 133 0 533 0
2 14 6 8 -23 13 12 -10 0
-1 -7 -4 -14 14 280 3 0 -2
-27 11 7 -19 -4 -14 199 10 -7
5 4 -10 3 3 22 1 -9 3
-11 9 6 21 -3 -19 16 17 4
31 -20 -13 -10 3 2 -8 13 0
0 -9 -11 -7 -167 -9 12 9 -2
-16 -12 10 -7 -10 -9 -2 -11 -2
-34 -50 -15 -20 13 0 -4 -31 10
9 -37 -3 -25 -12 4 32 -15 -6
-15 -13 -2 12 3 9 -14 -12 96
7 222 -56 17 26 52 10 12 2
-72 -15 14 0 4 9 -9 53 -8
-1 -9 8 -19 -1 -20 -33 -13 -8
165 -5 -50 5 -3 -2 11 -10 0
-19 -9 3 31 6 -4 30 -21 -5
-10 3 49 -5 -10 27 0 2 -19
114 1 -6 42 -14 -24 -21 28 -2
-8 -3 12 -2 10 16 100 -2 12
-17 6 0 -134 -75 12 7 -1 16
-4 -12 0 21 -7 46 -5 0 -3
22 13 2 -12 -8 9 -53 7 8
-1 0 2 -111 15 46 -3 15 -4
-5 -12 -4 -10 2 52 -10 -22 -24
-7 -13 -13 -7 -6 14 -6 14 -43
1 -4 13 -10 -9 -5 0 3 10
-15 2628 -23 -11 -6 15 8 7 5
15 -812 -13 61 0 11 33 30 -3
0 0 -15 -11 8 10 24 22 -10
-4 0 1 -12 14 -4 -5 -7 0
21 -85 -16 -12 -27 18 -110 -17 -15
4 161 11 -18 -16 3 25 -27 -43
-10 0 -12 5 0 -3 -12 -9 -5
-6 -3 26 68 3 22 -8 120 33
13 -9 -9 -15 44 2 -5 -3 9
20 44 6 -12 135 -7 -312 22 24
-24 5 7 3 -1 0 -39 4 -3
0 -2 14 15 -65 -8 79 -60 -18
-9 6 -7 -41 9 -213 4 -18 -31
9 -4 -3 -4 -12 -3 22 211 -17
7 4 15 0 -7 34 -8 -14 -8
-27 9 0 15 -1 3 18 -51 -7
-31 -11 -23 0 -18 2 14 20 4
9 -21 -14 -1 6 0 8 5 12
-49 -2 6 -40 17 -5 1 -15 119
28 -21 -14 -73 -14 14 2 2 0
-1 -7 -6 110 1 -8 0 -1 15
12 -3 5 -37 -228 -4 -26 7 11
-2 60 -49 -9 -9 15 -1 8 6
-8 6 -20 3 -3 9 5 -10 -5
-12 -11 3 -2 -10 8 -10 -16 -65
-11 6 3 10 -5 0 -5 14 -1
198 -9 -3 -48 1 0 -23 2 17
-22 -9 -3 1 -1 25 3 -15 7
-1 -27 11 0 3 -3 7 -3 23
7 12 -4 3 1 5 -98 -40 -11
11 1 -53 103 4 12 95 23 -5
30 59 -64 20 1 -16 5 -18 48
3 -17 -6 4 -33 420 197 0 -10
9 -8 -9 11 -5 0 -12 -8 13
-331 16 15 2 34 58 -4 -61 -11
-2 -57 -15 -43 -20 -12 0 14 -8
8 1 15 1 -7 1 -17 9 30
-113 3 46 -6 46 0 -3 -4 0
-2 -6 -7 6 -9 -2 9 1 67
138 20 0 111 -6 -483 4 67 -12
28 -9 -6 -16 -21 2 4 -43 2
-371 -116 -18 -3 -2 -6 -2 17 -7
-2 0 -110 211 -2 -19 -1 22 -11
12 1 284 -17 4 3 -53 -8 -20
-1 -16 107 1 0 -11 -14 -23 2
7 -6 10 9 -1 91 0 -7 15
-69 -67 136 -3 -37 1 -22 -10 -7
-6 13 -55 0 -15 0 236 -8 19
11 -10 6 13 11 -39 -11 34 17
270 -15 13 -4 -3 -13 19 -7 34
-6 2 13 12 -47 -18 -28 12 11
17 0 -11 -2 -1 1 9 -44 9
1 3 -24 312 -8 -41 56 -13 -13
-3 4 2 11 -32 -129 2 7 10
1 2 -4 0 -3 -104 7 -1 -1
-7 10 47 -14 0 2 0 11 -11
-110 -8 191 -11 31 2 -17 15 -18
17 7 11 -9 11 -1 2 -82 14
11 -8 96 -16 2 0 -163 52 -9
9 0 9 7 3 -8 2 -11 16
25 7 -2 0 14 3 -7 -699 -8
7 -20 29 -16 71 11 6 -12 3
-31 6 0 -4 0 -9 17 4 8
-9 -13 2 -9 -4 -187 0 121 2
-8 26 -27 -2 14 32 -41 3 -8
-33 -5 1 2 -11 -29 9 -10 -172
15 7 -146 -128 -12 277 -13 0 -6
-43 -9 -13 -10 -2 -2 -2 -14 -4
15 -2 1 1 -11 10 -4 13 -9
54 -5 -53 -14 -5 -7 0 0 -7
10 7 -2 -3 13 2 0 -2 -14
9 3 -1 77 -2 -24 36 39 -1
-32 -13 0 8 6 -2 6 -5 1
30 -2 -33 -3 -1 8 -21 -9 2
0 0 10 50 -23 -13 4 -7 -6
-4 -42 1 9 10 -27 -1 -19 10

