0 87 77 80 -235 28 0 -3 -24 2
1 1 -33 -1 -2 17 -1 -3 -5
-7 -9 8 8 -6 -11 -6 15 -1
2 -10 0 -15 -7 7 29 4 5
-8 -10 -73 0 79 -9 -4 -112 -1
83 12 -171 -6 -117 11 17 5 45
-4 -30 -256 -12 -19 -10 238 3 -5
-1 26 -7 -2 -5 2 -14 -37 -1
25 33 14 -8 7 10 3 -7 9
-8 85 63 -2 -20 -1 -9 -2 -360
-2 9 -2 -7 25 21 16 -9 3
2 -4 12 7 0 35 -228 -8 -3
5 9 1 0 -9 2 2 2 -8
8 6 59 -41 9 3 -2 7 1
0 3 -3 1 -8 2 191 -30 -5
2 24 -7 -18 1 -7 19 0 14
1 239 8 3 19 -4 7 5 -5
-9 9 2 -3 -36 5 -1 -1 -3
-26 -6 0 10 -37 36 0 -5 -8
-3 -9 -46 -10 -11 8 -1 -537 26
13 9 4 -12 -13 -5 5 9 19
-17 -4 28 1 -8 -62 9 1 3
-167 -2 -15 -11 -25 4 -6 16 1
0 -79 18 -2 -48 -10 25 -16 4
-126 -19 -4 -24 -31 -8 -17 -1 2
-30 51 -29 9 0 37 -1 -1 2
20 -10 -9 -2 6 15 -13 25 0
-28 -2 37 212 -12 4 -2739 3 -11
0 -24 19 0 -11 0 -7 42 -41
23 4 473 -62 17 4 8 14 20
-27 -64 -12 2 -10 0 -9 9 4
15 10 10 0 5 48 127 -15 24
-24 0 18 1 90 11 7 14 62
1 0 -7 50 19 160 -8 0 -39
11 -7 -20 0 8 1 -4 -5 104
-6 -18 -16 -9 5 7 -41 113 -7
-1 -5 696 -117 0 -23 2 -37 25
248 -3 -28 74 -32 -24 -24 43 18
-9 0 -11 30 -19 -21 9 7 -14
0 -209 11 -7 -49 -16 46 1 -14
-28 -10 -28 -3 6 -36 -7 -7 43
0 -69 2 -40 -19 -14 -7 0 11
5 -4 18 0 9 3 28 7 1
-6 12 1 -22 112 -10 -2 2 -8
21 6 -10 -23 12 -21 -3 17 20
-22 -6 -1 1 -13 0 2 236 11
38 -76 -10 15 -2 -102 1 -110 29
-10 6 4 9 -1 9 -2 -1 0
9 -6 -29 -2 -6 31 -38 206 -9
-17 -5 -118 24 162 2 -36 1 22
-1 -5 1 -3 -17 -62 -6 11 4
744 18 8 -2 0 6 1 12 -1
-5 -47 63 11 4 -79 -10 -15 -72
423 20 6 -1 0 -4 20 5 6
5 2 -112 12 1329 5 0 66 -29
-16 38 -1 18 -12 24 -55 15 -12
-5 -6 9 -7 -2 -2 0 -26 12
4 13 -6 -27 38 7 3 6 -9
-12 -3 -154 74 -4 10 7 -11 13
0 -41 10 5 -59 10 -14 0 1
4 4 -2 1 -7 26 -12 53 -16
-3 -173 4 -12 -2 -8 3 3 33
6 -12 17 10 124 10 8 -30 -35
10 24 -7 -37 2 -13 11 -6 -7
12 14 0 -1 0 -7 62 11 31
4 -43 14 0 -12 -8 -8 0 -8
11 -77 8 -30 -6 -493 -1 8 -227
-12 9 1 9 -42 -3 -5 47 12
-1 10 -12 35 -4 -11 -1 7 7
32 8 8 -13 -13 0 -2 -5 11
-24 -4 -13 -1 7 1 -8 34 -2
1 -8 86 23 -5 -9 11 2 0
3 -16 13 4 -7 -8 26 3 -8
23 -41 -8 -10 7 -33 29 0 -19
7 -13 9 19 -12 14 0 2 -4
8 -15 19 -19 -10 16 -2 0 21
14 21 -5 14 -6 -11 -13 6 3
-28 4 2 -46 4 25 3 -6 -7
8 10 6 0 40 -377 -1 -5 1
1 -55 26 11 7 31 25 -5 33
13 3 8 60 -15 2 2 17 56
5 18 3 -14 5 -1 3 -28 -7
15 8 -4 45 -123 -4 8 10 16
7 8 3 2 4 -5 2 -4 26
2 19 -45 23 -2 0 6 12 -70
-1 -4 -9 -5 25 -108 -10 9 4
-28 -8 -19 24 10 108 14 -14 -938
-16 1 23 -15 43 1 -6 -31 5
-55 0 3 7 36 -2 -9 -13 9
17 15 25 -6 13 7 169 10 9
-6 -10 -6 3 -16 4 3 -29 6
4 -31 3 -33 14 73 3 4 12
1 17 5 12 4 28 9 4 -18
0 -16 5 11 -19 -14 -1 -15 0
4 -6 3 5 3 54 7 -3 -2
37 2 -8 -5 3 4 -598 -2 -3
-7 487 2 4 18 44 -13 -21 1
3 2 -12 9 -1 -78 13 -4 0
38 4 11 5 9 13 -1 -5 11
4 -1 9 -3 -5 -11 -3 -6 17
9 -12 5 -2 3 1 -36 -4 4
1 3 -3 9 -6 0 -12 -17 -60
13 17 13 10 -15 -3 -5 1 -26
-15 8 -22 -4 -9 -4 0 11 7
-13 -2 -163 2 0 -32 -10 -12 -6
0 -4 -15 -11 0 -21 -706 19 9
0 5 -10 26 -5 6 14 6 3
-12 -10 7 -5 787 91 -11 14 10
0 -2 9 9 -1 61 -10 -12 -13
-212 -24 -7 -2 6 -18 -73 40 17
-8 90 11 -61 2 13 -6 -61 -1

